"treeID","bin","95th_eucDist","bin_numb"
3,"(8.38,8.88].95%",5.52614510252926,8.38
3,"(8.88,9.38].95%",5.37475958546164,8.88
3,"(9.38,9.88].95%",5.07710486639141,9.38
3,"(9.88,10.4].95%",4.84105649625151,9.88
3,"(10.4,10.9].95%",4.39276512704082,10.4
3,"(10.9,11.4].95%",4.91557534790084,10.9
3,"(11.4,11.9].95%",4.56282061890865,11.4
3,"(11.9,12.4].95%",4.66857247763323,11.9
3,"(12.4,12.9].95%",4.53283611744812,12.4
3,"(12.9,13.4].95%",4.67476686779598,12.9
3,"(13.4,13.9].95%",4.3310659086019,13.4
3,"(13.9,14.4].95%",4.51359074225502,13.9
3,"(14.4,14.9].95%",3.99152731843001,14.4
3,"(14.9,15.4].95%",4.13138106384749,14.9
3,"(15.4,15.9].95%",4.74578718647476,15.4
3,"(15.9,16.4].95%",5.49030775072589,15.9
3,"(16.4,16.9].95%",5.07173432963944,16.4
3,"(16.9,17.4].95%",5.3901389886887,16.9
3,"(17.4,17.9].95%",4.76689809719942,17.4
3,"(17.9,18.4].95%",4.56972817974047,17.9
3,"(18.4,18.9].95%",4.55510587373791,18.4
3,"(18.9,19.4].95%",3.42423891214667,18.9
3,"(19.4,19.9].95%",2.94790601751335,19.4
3,"(19.9,20.4].95%",4.02104157231244,19.9
3,"(20.4,20.9].95%",3.84799625838714,20.4
3,"(20.9,21.4].95%",3.51061130605414,20.9
3,"(21.4,21.9].95%",4.56596926662914,21.4
3,"(21.9,22.4].95%",4.24331906564422,21.9
3,"(22.4,22.9].95%",3.43158948383113,22.4
3,"(22.9,23.4].95%",2.70724254121471,22.9
3,"(23.4,23.9].95%",2.64974262096415,23.4
3,"(23.9,24.4].95%",3.18111408913651,23.9
3,"(24.4,24.9].95%",3.84255127394679,24.4
3,"(24.9,25.4].95%",3.865917201695,24.9
3,"(25.4,25.9].95%",3.37610226307548,25.4
3,"(25.9,26.4].95%",2.60601048983331,25.9
3,"(26.4,26.9].95%",2.62414581742349,26.4
3,"(26.9,27.4].95%",2.10400316835312,26.9
3,"(27.4,27.9].95%",1.98904183336983,27.4
3,"(27.9,28.4].95%",2.25197824081068,27.9
3,"(28.4,28.9].95%",1.9625315284577,28.4
3,"(28.9,29.4].95%",0.887032525586996,28.9
3,"(29.4,29.9].95%",1.02310255584473,29.4
4,"(1.4,1.9].95%",2.78558137567897,NA
4,"(1.9,2.4].95%",2.78873589288025,NA
4,"(2.4,2.9].95%",2.78646811696073,NA
4,"(2.9,3.4].95%",2.8088909472014,NA
4,"(3.4,3.9].95%",2.80760455390943,NA
4,"(3.9,4.4].95%",2.73853757668143,NA
4,"(4.4,4.9].95%",2.79508037339071,NA
4,"(4.9,5.4].95%",2.70895619473878,NA
4,"(5.4,5.9].95%",2.71155619218239,NA
4,"(5.9,6.4].95%",2.77642043186473,NA
4,"(6.4,6.9].95%",2.72614808474033,NA
4,"(6.9,7.4].95%",2.74953138290652,NA
4,"(7.4,7.9].95%",2.72490116441054,NA
4,"(7.9,8.4].95%",2.69254820353733,NA
4,"(8.4,8.9].95%",2.72262741825242,NA
4,"(8.9,9.4].95%",2.77829425058994,NA
4,"(9.4,9.9].95%",2.65425314952561,NA
4,"(9.9,10.4].95%",2.67171914643593,NA
4,"(10.4,10.9].95%",2.69179932647303,10.4
4,"(10.9,11.4].95%",2.68089910280726,10.9
4,"(11.4,11.9].95%",2.64634999900427,11.4
4,"(11.9,12.4].95%",NA,11.9
4,"(12.4,12.9].95%",3.6359847646817,12.4
4,"(12.9,13.4].95%",3.58798521957462,12.9
4,"(13.4,13.9].95%",3.60544129377212,13.4
4,"(13.9,14.4].95%",3.30324593777438,13.9
4,"(14.4,14.9].95%",3.36932604697424,14.4
4,"(14.9,15.4].95%",3.58981001962767,14.9
4,"(15.4,15.9].95%",3.22888638220447,15.4
4,"(15.9,16.4].95%",3.35554581297893,15.9
4,"(16.4,16.9].95%",2.62687345475025,16.4
4,"(16.9,17.4].95%",2.78568872978038,16.9
4,"(17.4,17.9].95%",NA,17.4
4,"(17.9,18.4].95%",2.6579090083607,17.9
4,"(18.4,18.9].95%",2.63734470963776,18.4
4,"(18.9,19.4].95%",2.73084512084893,18.9
5,"(1.37,1.87].95%",4.18362282776512,1.37
5,"(1.87,2.37].95%",4.18094066313388,1.87
5,"(2.37,2.87].95%",4.14537592056315,2.37
5,"(2.87,3.37].95%",4.09746198991187,2.87
5,"(3.37,3.87].95%",4.14009815290042,3.37
5,"(3.87,4.37].95%",4.00274444548503,3.87
5,"(4.37,4.87].95%",3.96475128375766,4.37
5,"(4.87,5.37].95%",3.95014892991757,4.87
5,"(5.37,5.87].95%",3.87457105986055,5.37
5,"(5.87,6.37].95%",3.82362948794981,5.87
5,"(6.37,6.87].95%",3.75135039460481,6.37
5,"(6.87,7.37].95%",3.90761831253591,6.87
5,"(7.37,7.87].95%",4.39472511064245,7.37
5,"(7.87,8.37].95%",4.66295409439661,7.87
5,"(8.37,8.87].95%",4.26645035170044,8.37
5,"(8.87,9.37].95%",4.34630485583461,8.87
5,"(9.37,9.87].95%",4.36008707069288,9.37
5,"(9.87,10.4].95%",3.66817018662212,9.87
5,"(10.4,10.9].95%",4.56009898808645,10.4
5,"(10.9,11.4].95%",3.88792638438258,10.9
5,"(11.4,11.9].95%",4.12824281696245,11.4
